"","Study_ID","Author_year","Publication_year","Country_firstAuthor","Effect_ID","Species_common","Species_Scientific","Weight_sample_g","PFAS_type","linear_total","Choice_of_9","Cooking_method","Cooking_Category","Comments_cooking","Temperature_in_Celsius","Length_cooking_time_in_s","Water","Oil","Oil_type","Volume_liquid_ml","Cohort_ID","Cohort_comment","Nc","Pooled_Nc","Unit_PFAS_conc","Mc","Mc_comment","Sc","sd","Sc_technical_biological","Ne","Pooled_Ne","Me","Me_comment","Se","Se_technical_biological","If_technical_how_many","Unit_LOD_LOQ","LOD","LOQ","Design","DataSource","Raw_data_provided","General_comments","checked"
"14","F003","Bhavsar_2014",2014,"Canada","E014","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFUnDA",NA,"Yes","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C006","NA",5,"Probably 5","ng/g",0.186,"NA",0.225,"sd","Needs validation, but probably biological",5,"Probably 5",0.234,"NA",0.291,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"15","F003","Bhavsar_2014",2014,"Canada","E015","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFDoDA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C006","NA",5,"Probably 5","ng/g",0.08,"NA",0.073,"sd","Needs validation, but probably biological",5,"Probably 5",0.101,"NA",0.095,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"16","F003","Bhavsar_2014",2014,"Canada","E016","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFTrDA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C006","NA",5,"Probably 5","ng/g",0.215,"NA",0.183,"sd","Needs validation, but probably biological",5,"Probably 5",0.259,"NA",0.241,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"17","F003","Bhavsar_2014",2014,"Canada","E017","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFTeDA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C006","NA",5,"Probably 5","ng/g",0.076,"NA",0.055,"sd","Needs validation, but probably biological",5,"Probably 5",0.083,"NA",0.073,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"18","F003","Bhavsar_2014",2014,"Canada","E019","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFOS",NA,"Yes","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C006","NA",5,"Probably 5","ng/g",12.7,"NA",12.61,"sd","Needs validation, but probably biological",5,"Probably 5",16.56,"NA",18,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"19","F003","Bhavsar_2014",2014,"Canada","E020","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFDS",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C006","NA",5,"Probably 5","ng/g",0.303,"NA",0.284,"sd","Needs validation, but probably biological",5,"Probably 5",0.397,"NA",0.433,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"20","F003","Bhavsar_2014",2014,"Canada","E021","Chinook salmon","Oncorhynchus tshawytscha",NA,"6:6PFPIA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C006","NA",5,"Probably 5","ng/g",0.003,"NA",0.003,"sd","Needs validation, but probably biological",5,"Probably 5",0.002,"NA",0.002,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"21","F003","Bhavsar_2014",2014,"Canada","E022","Chinook salmon","Oncorhynchus tshawytscha",NA,"6:8PFPIA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C006","NA",5,"Probably 5","ng/g",0.017,"NA",0.023,"sd","Needs validation, but probably biological",5,"Probably 5",0.01,"NA",0.016,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"22","F003","Bhavsar_2014",2014,"Canada","E023","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFNA",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C007","NA",5,"Probably 5","ng/g",0.067,"NA",0.095,"sd","Needs validation, but probably biological",5,"Probably 5",0.083,"NA",0.118,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"23","F003","Bhavsar_2014",2014,"Canada","E024","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFDA",NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C007","NA",5,"Probably 5","ng/g",0.156,"NA",0.197,"sd","Needs validation, but probably biological",5,"Probably 5",0.19,"NA",0.232,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"24","F003","Bhavsar_2014",2014,"Canada","E025","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFUnDA",NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C007","NA",5,"Probably 5","ng/g",0.186,"NA",0.225,"sd","Needs validation, but probably biological",5,"Probably 5",0.256,"NA",0.31,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"25","F003","Bhavsar_2014",2014,"Canada","E026","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFDoDA",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C007","NA",5,"Probably 5","ng/g",0.08,"NA",0.073,"sd","Needs validation, but probably biological",5,"Probably 5",0.1,"NA",0.08,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"26","F003","Bhavsar_2014",2014,"Canada","E027","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFTrDA",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C007","NA",5,"Probably 5","ng/g",0.215,"NA",0.183,"sd","Needs validation, but probably biological",5,"Probably 5",0.285,"NA",0.234,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"27","F003","Bhavsar_2014",2014,"Canada","E028","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFTeDA",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C007","NA",5,"Probably 5","ng/g",0.076,"NA",0.055,"sd","Needs validation, but probably biological",5,"Probably 5",0.083,"NA",0.071,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
